code,name
7123,pworth [s]
5188,cnouhua
710686,supermx-c86
0179wa,biohldg-wa [s]
696331,vs-c31
5789,lbs [s]
1295,pbbank
7253,handal [s]
1171,mbsb
0170,kanger [s]
9741,rohas [s]
5292,uwc [s]
7233,dufu [s]
6633,lhi
0041,myscm [s]
5183,pchem [s]
4219,bjland
5657,parkson [s]
0079wa,orion-wa [s]
0651ae,hsi-hae
5347,tenaga [s]
7216,kawan [s]
6254wb,pdz-wb [s]
7133,ulicorp [s]
5187,hbglob
1155,maybank
0201,nova [s]
5286cl,mi-cl
7889,thriven [s]
06519h,hsi-c9h
3298,hexza
432412,hengyuanc12
522280,fgv-c80
5160,homeriz [s]
0650af,fbmklci-haf
0108wb,n2n-wb [s]
0186,ptrans [s]
3816,misc [s]
0007,puc [s]
4898,ta
8524,taliwrk [s]
7035,cck [s]
3417,e&o [s]
06508z,fbmklci-h8z
516840,harta-c40
0020,netx
0040,opensys [s]
5239,titijya [s]
3336,ijm [s]
5173,syscorp [s]
5098,masteel [s]
7609wa,ajiya-wa [s]
0070,mqtech [s]
0039,gfm [s]
0119,appasia [s]
0017,m3tech [s]
0048,ancomlb [s]
6556,annjoo [s]
5249,ioipg [s]
5231,pelikan [s]
4057,asiapac [s]
9385wa,layhong-wa [s]
3778,melewar [s]
6947,digi [s]
534770,tenaga-c70
013890,myeg-c90
2739,huaan [s]
0107wb,eduspec-wb [s]
4375,smi [s]
5157wa,saudee-wa [s]
7207,success [s]
06519i,hsi-c9i
1651wb,mrcb-wb [s]
0102wb,connect-wb [s]
521051,armada-c51
7070,vizione [s]
0651at,hsi-hat
6483,kenanga
7174,cab [s]
5227,igbreit
5068wa,luster-wa
0205,dpih
7153c4,kossan-c4
1619,drbhcom [s]
4324,hengyuan [s]
8966,prlexus [s]
5190,benalec
516834,harta-c34
0172wa,ock-wa
5246,wprts [s]
013895,myeg-c95
5924,mtdacpi [s]
6203,kheesan [s]
181828,bursa-c28
0120wb,vis-wb [s]
0129,sridge [s]
8966wa,prlexus-wa [s]
7036wd,bornoil-wd [s]
5147,samchem
3565,wcehb
4464,phb [s]
0200wa,revenue-wa [s]
516838,harta-c38
0656ck,sp500-ck
5125,pantech [s]
7228,t7global [s]
5213,sntoria [s]
7293c9,yinson-c9
0054,karyon [s]
5253,econbhd [s]
0181,aemulus [s]
5178,dynacia
7153c5,kossan-c5
4944,nylex [s]
0101,tmclife
471576,genm-c76
0178,sedania [s]
7155,skpres [s]
7245wa,wzsatu-wa [s]
0198,gdb [s]
5184,cypark [s]
0090,elsoft [s]
06519v,hsi-c9v
8907,eg [s]
5225,ihh [s]
518351,pchem-c51
0080,straits [s]
5145,sealink [s]
8931,jerasia
6742,ytlpowr
06508r,fbmklci-h8r
0001,scomnet [s]
8907wc,eg-wc [s]
2852,cmsb [s]
8567,salcon [s]
5070wa,prtasco-wa [s]
3913,muiprop [s]
5157,saudee [s]
0078cr,gdex-cr
9075,theta [s]
0210,khjb [s]
5819,hlbank
5095,hevea [s]
5077,maybulk
521620,dsonic-c20
013886,myeg-c86
9954,rgtbhd [s]
7200,tekseng [s]
0186wa,ptrans-wa [s]
8273,pphb [s]
03021,eth
6068,pccs [s]
4863,tm [s]
7225,pa [s]
0154,eah
4677,ytl
9326,lbalum [s]
7160ct,penta-ct
06519u,hsi-c9u
0656hl,sp500-hl
6521,suria [s]
5014,airport
5068,luster
0039wc,gfm-wc [s]
4758,ancom [s]
4251,ibhd [s]
0093,solutn
463449,pos-c49
7139,nice [s]
7165wa,dwl-wa [s]
0200,revenue [s]
5286,mi [s]
5258,bimb [s]
7029,master [s]
5230,tunepro
3204,gkent [s]
6459,mnrb
3859,magnum
5072,hiaptek [s]
9474,brahims [s]
0172,ock
5031,timecom [s]
7084,ql [s]
16191c,drbhcomc1c
5131,zhulian [s]
1015,ambank
7165,dwl [s]
1147,gob [s]
5160wb,homeriz-wb [s]
5112,thplant [s]
521055,armada-c55
3778wb,melewar-wb [s]
5285cm,simeplt-cm
5106,axreit [s]
534772,tenaga-c72
534774,tenaga-c74
696330,vs-c30
7071pa,ocr-pa [s]
727755,dialog-c55
516836,harta-c36
5176,sunreit
5024,hupseng [s]
0080wa,straits-wa [s]
518348,pchem-c48
7071,ocr [s]
7204,d&o [s]
7192,goodway [s]
5576wc,minho-wc [s]
7170,lfecorp [s]
6633cr,lhi-cr
0161wa,sch-wa
5205,sendai [s]
9318,fitters [s]
7035wa,cck-wa [s]
5248,bauto [s]
7230,tomei
0145,tfp [s]
5267,xinhwa [s]
8605,fihb [s]
3484,dbhd [s]
0157,focusp [s]
0185,hsseb [s]
0136,greenyb [s]
9261wb,gadang-wb [s]
0650ab,fbmklci-hab
0189,matang
8893,mkland [s]
5087,mycron [s]
06507y,fbmklci-c7y
0043wa,mtronic-wa [s]
106622,rhbbankc22
516835,harta-c35
501421,airport-c21
9466,kkb [s]
0045,gnb [s]
4162,bat
0021,ghlsys [s]
5398,gamuda [s]
1902,pinepac [s]
0055wa,sersol-wa [s]
0018wb,lambo-wb
7100,uchitec [s]
5053,osk
7082,syf [s]
7180,sernkou [s]
5273,chinhin [s]
7184,g3
0094,inix [s]
711368,topglov-c68
9091,emico [s]
539870,gamuda-c70
4464wb,phb-wb [s]
0216,spring [s]
0059,ecohlds [s]
7047,fajar [s]
318284,gentingc84
486356,tm-c56
5066,ntpm [s]
0154we,eah-we
7130,kpower [s]
5149,tas [s]
5000,humeind
3018,olympia
5102,gcb [s]
2488,abmb
013893,myeg-c93
5072wb,hiaptek-wb [s]
6012,maxis [s]
516839,harta-c39
5288,simeprop [s]
9954wb,rgtbhd-wb [s]
3069,mfcb [s]
06508v,fbmklci-h8v
5279c9,serbadk-c9
486358,tm-c58
06508s,fbmklci-h8s
5102wb,gcb-wb [s]
5878,kpj [s]
9237,scib [s]
2879,ccm [s]
7231,wellcal [s]
0208,greatec [s]
4081,pmcorp [s]
7078wa,azrb-wa [s]
0105wa,asiaply-wa [s]
8397,tnlogis [s]
7249,ewein [s]
5038,ksl [s]
4065,ppb [s]
7252,teoseng [s]
7045,scomies [s]
013887,myeg-c87
0069we,vivocom-we [s]
0074,gocean [s]
5932wa,bpuri-wa [s]
727754,dialog-c54
5195,censof [s]
0169,smtrack [s]
0011,btech [s]
419740,sime-c40
0150wa,fintec-wa
0068,asdion [s]
8869,pmetal [s]
7017,komark [s]
1724,paramon [s]
0105,asiaply [s]
5071,coastal
013884,myeg-c84
7014,yli [s]
5171,kimlun [s]
7139wb,nice-wb [s]
102361,cimb-c61
6033,petgas [s]
6633cl,lhi-cl
7234,mesb [s]
5001,mieco [s]
4723wb,jaks-wb [s]
7148,dpharma [s]
7579wa,awc-wa [s]
5226wb,gbgaqrs-wb [s]
7293,yinson [s]
7235,superln [s]
8311,pesona [s]
0056,granflo [s]
7315,ahb [s]
7247wa,scgm-wa [s]
7090,ahealth [s]
0160,hhhcorp [s]
9792,seg [s]
710676,supermx-c76
5275,mynews
0175,hhgroup [s]
0212,sds [s]
0177,pasukgb [s]
5279c6,serbadk-c6
7293c7,yinson-c7
0113,mmsv [s]
522290,fgv-c90
7117,cjcen [s]
0171,plabs
7052,padini [s]
4588,umw [s]
7160ci,penta-ci
0203wa,smetric-wa
5220,glotec [s]
6181,malton [s]
5100,bpplas [s]
7234wa,mesb-wa [s]
727756,dialog-c56
7081,pharma [s]
710687,supermx-c87
710678,supermx-c78
688851,axiata-c51
7076,cbip [s]
5159,yocb [s]
1538,symlife [s]
3042,petronm [s]
0064,efficen
5283wa,ewint-wa
7225wb,pa-wb [s]
1562,bjtoto
5196,bjfood
101519,ambank-c19
5248c8,bauto-c8
518346,pchem-c46
6874,kub [s]
6599,aeon [s]
5185,affin
5212,pavreit
7086,ablegrp [s]
6139cm,takaful-cm
0174,idmensn [s]
0167wb,mclean-wb [s]
3565pa,wcehb-pa
7160co,penta-co
9938,bright
8176,ataims [s]
7249wb,ewein-wb [s]
518615,mhb-c15
3573,lienhoe
5048,yilai [s]
5250,sem
6599cx,aeon-cx
7022,gtronic [s]
3379,insas
4162cx,bat-cx
5056,engtex [s]
7217,emetall [s]
0150wb,fintec-wb
5253wa,econbhd-wa [s]
129545,pbbank-c45
016657,inari-c57
7034,tguan [s]
7248,slp [s]
7105,hck
6139,takaful [s]
5102cl,gcb-cl
5211wb,sunway-wb [s]
516833,harta-c33
5286cj,mi-cj
9717,sycal
711369,topglov-c69
711363,topglov-c63
5293,ame [s]
7222,imaspro [s]
5152,mbl [s]
0197,wegmans [s]
06508l,fbmklci-h8l
8567wb,salcon-wb [s]
06508u,fbmklci-h8u
0119wa,appasia-wa [s]
7240,vertice [s]
7088,pohuat [s]
7155cu,skpres-cu
7167,johotin [s]
0197wa,wegmans-wa [s]
5291,hpmt [s]
102355,cimb-c55
115568,maybankc68
521617,dsonic-c17
7676,gunung [s]
7169,dominan [s]
521618,dsonic-c18
9571,mitra [s]
710682,supermx-c82
333639,ijm-c39
5040wc,meridian-wc [s]
5040,meridian [s]
5279cx,serbadk-cx
013896,myeg-c96
0060wb,vc-wb [s]
3484wa,dbhd-wa [s]
9296,rcecap
6998,bintai [s]
5226,gbgaqrs [s]
0650ae,fbmklci-hae
8206wa,ecowld-wa [s]
0207,mestron [s]
7160cl,penta-cl
5232,leonfb
5271,pecca [s]
7022c4,gtronic-c4
0038,ptb [s]
3794,mcement [s]
0192,inta [s]
5260,owg
2445,klk [s]
5401,trop [s]
4022,tadmax [s]
165156,mrcb-c56
50991a,airasiac1a
6114,mkh [s]
0193,kab [s]
5279cy,serbadk-cy
5109,ytlreit
5172,kstar
5288ct,simeprop-ct
5239pa,titijya-pa [s]
5126,sop [s]
0168,boilerm [s]
5141c1,dayang-c1
3239wb,bjasset-wb
5258wa,bimb-wa [s]
1996,kretam [s]
5026,mhc [s]
7173wb,toyoink-wb [s]
5139,aeoncr
3034,hapseng
711366,topglov-c66
7128,camres [s]
333636,ijm-c36
016658,inari-c58
165158,mrcb-c58
463448,pos-c48
6139co,takaful-co
333638,ijm-c38
5136,complet [s]
318282,gentingc82
7188,btm [s]
7676wb,gunung-wb [s]
7089,liihen [s]
711370,topglov-c70
7160ck,penta-ck
0651as,hsi-has
9083,jetson [s]
7087,magni [s]
0827ea,metfus50 [s]
115561,maybankc61
516831,harta-c31
0001wa,scomnet-wa [s]
7241,nggb [s]
9113,iconic [s]
5681,petdag [s]
5036,edaran [s]
7161,kerjaya [s]
161997,drbhcomc97
5285cn,simeplt-cn
0105wb,asiaply-wb [s]
7198,dps [s]
0089,texcycl [s]
518347,pchem-c47
6139ck,takaful-ck
3239,bjasset
129546,pbbank-c46
7186wb,swscap-wb [s]
5236,matrix [s]
5606,igbb
06519w,hsi-c9w
5125wa,pantech-wa [s]
5079,gets [s]
7169wa,dominan-wa [s]
5102ck,gcb-ck
333637,ijm-c37
7889wb,thriven-wb [s]
8494wb,lbicap-wb
7096,gpa
7195,comcorp
5843,kps [s]
5094,cscstel [s]
5584,yeelee [s]
0131,dgsb [s]
4162cv,bat-cv
4995,versatl [s]
5054,trc [s]
5104,cni [s]
419743,sime-c43
5020,glomac [s]
8133,bhic [s]
2836,carlsbg
7114wa,dnonce-wa [s]
0146,jftech [s]
0828ea,goldetf [s]
0650ag,fbmklci-hag
7187,chgp [s]
7160cs,penta-cs
0206,nadibhd [s]
9776,smcap [s]
521054,armada-c54
3395wc,bjcorp-wc
16191f,drbhcomc1f
5102cs,gcb-cs
471574,genm-c74
318285,gentingc85
117129,mbsb-c29
219416,mmccorpc16
1724wa,paramon-wa [s]
129540,pbbank-c40
524330,velesto-c30
639919,astro-c19
0651aw,hsi-haw
8605pa,fihb-pa [s]
7153c3,kossan-c3
6769,jkgland [s]
5260wa,owg-wa
0028wa,scope-wa [s]
7160cq,penta-cq
518350,pchem-c50
0093wa,solutn-wa
7182,eka [s]
5105,canone [s]
6815,eupe [s]
0092wc,mtouche-wc
516837,harta-c37
5219,pestech [s]
5121,hektar
5162,vstecs [s]
0008,willow
16191e,drbhcomc1e
5123,mqreit
7229,favco [s]
0651aq,hsi-haq
5236wa,matrix-wa [s]
0050,systech [s]
165162,mrcb-c62
5265wa,dolphin-wa [s]
0053,oskvi
5072la,hiaptek-la [s]
486364,tm-c64
4162cu,bat-cu
5279c4,serbadk-c4
9172,fpi [s]
0651ax,hsi-hax
7208,euro [s]
7120,acostec [s]
7107,ofi [s]
5216ha,dsonic-ha
0190,esafe [s]
7179wb,dbe-wb [s]
8125,daiboci [s]
521615,dsonic-c15
7232,resintc [s]
5272,ranhill [s]
115565,maybankc65
3069ci,mfcb-ci
381626,misc-c26
6548,mpcorp
9776wc,smcap-wc [s]
5012,taann [s]
9822,sam [s]
3158,ynhprop [s]
7095,pie [s]
5075,plenitu
7668,haio
2291,genp [s]
710685,supermx-c85
7176wa,tpc-wa [s]
3883,muda [s]
7066pa,yongtai-pa [s]
9695,pls [s]
06519n,hsi-c9n
7016,chuan [s]
5983,mbmr [s]
5125wb,pantech-wb [s]
516830,harta-c30
0112,mikromb [s]
710677,supermx-c77
0024wb,jag-wb [s]
9695wa,pls-wa [s]
8478,hwatai [s]
5220wa,glotec-wa [s]
3557,ecofirs [s]
7108pa,perdana-pa
5235ss,klcc [s]
7285,tomypak [s]
0651ar,hsi-har
9377,fsbm
0034wb,mmag-wb [s]
06507p,fbmklci-c7p
5005,unisem [s]
0025,ybs [s]
0129wa,sridge-wa [s]
5120,amfirst
8745,leweko [s]
5042,tsrcap [s]
5208,eita [s]
5614,ilb
5175,ivory [s]
03023,smile [s]
06519g,hsi-c9g
8982,cepat [s]
5280,kipreit
7071wd,ocr-wd [s]
50991g,airasiac1g
50991h,airasiac1h
0105pa,asiaply-pa [s]
16191d,drbhcomc1d
06507q,fbmklci-c7q
0651ak,hsi-hak
601218,maxis-c18
7241wa,nggb-wa [s]
5053wc,osk-wc
0109,scbuild [s]
6139cl,takaful-cl
458823,umw-c23
0128ck,frontkn-ck
6378,wmg [s]
1007,amprop
0097,vitrox [s]
8907pa,eg-pa
7158wb,scomi-wb [s]
8923,jiankun [s]
3255,heim
7028,zecon [s]
522517,ihh-c17
7088wb,pohuat-wb [s]
5065,orna [s]
5180,cmmt
0086,ygl [s]
5191,tambun [s]
7114,dnonce [s]
06519e,hsi-c9e
0656hj,sp500-hj
5152wa,mbl-wa [s]
0096wa,nexgram-wa [s]
5015,apm [s]
0034,mmag [s]
1643,landmrk
5289,techbnd [s]
1694,menang [s]
9288,bonia [s]
0651ac,hsi-hac
2429wb,tanco-wb [s]
5665,ssteel
7471wb,eden-wb
5021,ays
0096wb,nexgram-wb [s]
7237,pwroot [s]
0012,3a [s]
7010,hoover [s]
7140,oka [s]
8125wb,daiboci-wb [s]
070360,a50chin-c60
710683,supermx-c83
7077,kpprop [s]
8141,mjperak
3514,marco
6645,litrak [s]
0158,scc
6173,bdb [s]
06508w,fbmklci-h8w
2089,utdplt [s]
5916,msc [s]
0651ad,hsi-had
9687,ideal [s]
6572,kwantas [s]
5209,gasmsia [s]
9873,prestar [s]
7243,impiana [s]
4006,orient
5008,harison
5141c7,dayang-c7
7617wb,magna-wb [s]
0007wa,puc-wa [s]
711357,topglov-c57
5007,chinwel [s]
5111,twrreit
1082,hlfg
7152,jaycorp [s]
7134,pwf [s]
0656cl,sp500-cl
0081,megasun [s]
3743,sunsuria [s]
0211,tashin [s]
5238wa,aax-wa [s]
4847,ktb [s]
8761,brem
070339,a50chin-h39
50991e,airasiac1e
7187wa,chgp-wa [s]
5102cq,gcb-cq
5171wa,kimlun-wa [s]
0148,sunzen
534773,tenaga-c73
694738,digi-c38
6262,inno [s]
5286cg,mi-cg
6033cu,petgas-cu
7246wa,sign-wa [s]
4405,tchong
711364,topglov-c64
3476,kseng
5276,danco [s]
5797,choobee [s]
5228,elkdesa
7617,magna [s]
5062,huayang [s]
0126,microln [s]
5078,m&g
5025,nwp [s]
3689,f&n [s]
7765,rapid
6238,hsl [s]
4707,nestle [s]
7162,astino [s]
9423,cwg [s]
8672,kamdar [s]
514873,uems-c73
3247,guh [s]
8621,lpi
5983cm,mbmr-cm
3441,johan
3301,hlind [s]
710680,supermx-c80
6041,farlim
7160cr,penta-cr
4731,scientx [s]
519915,hibiscs-c15
5009,wthorse [s]
3069ch,mfcb-ch
9539,muh [s]
7211,tafi [s]
5116,alaqar [s]
7246,sign [s]
0824ea,myetfid [s]
5027,kmloong [s]
7178,yspsah [s]
1368,edgenta [s]
5127,arreit
7189,mbworld [s]
5135,swkplnt [s]
0128cm,frontkn-cm
471568,genm-c68
9962,gmutual [s]
419741,sime-c41
5908,dksh [s]
6912,pasdec [s]
0002,kotra [s]
7382,glbhd
102359,cimb-c59
3948,dutalnd
7285wa,tomypak-wa [s]
711371,topglov-c71
7609,ajiya [s]
7210,freight [s]
5200,uoadev [s]
5436,perstim [s]
539873,gamuda-c73
7237wa,pwroot-wa [s]
2135,gopeng [s]
3867,mpi [s]
522291,fgv-c91
6009,p&o
5197,flbhd [s]
9571we,mitra-we [s]
2216,ijmplnt
7188wb,btm-wb [s]
0104,genetec [s]
2674,alcom
5029,fareast [s]
8834,ireka [s]
7004,mcehldg [s]
5278,rhonema
5130,atrium
7186,swscap [s]
070343,a50chin-h43
5192,kssc [s]
5533,ocb [s]
9393,itronic [s]
2062,harbour [s]
7180wa,sernkou-wa [s]
5141c5,dayang-c5
5141cz,dayang-cz
7052c5,padini-c5
9997,pensoni
7073wc,seacera-wc [s]
710679,supermx-c79
7439,tecguan
486351,tm-c51
7020,ykgi
674211,ytlpowr-c11
5088,apex
5517,shang
7202,cscenic [s]
5246c4,wprts-c4
1899,bkawan [s]
5107,iqgroup [s]
9369,tgl [s]
0651ap,hsi-hap
1503,guoco
5276wa,danco-wa [s]
06519x,hsi-c9x
5207,sbccorp [s]
0825ea,metfsid [s]
0106,rexit
5022wa,paos-wa [s]
7595,mgb [s]
7031,amtel
7209,cheetah [s]
3905,mulpha
7052c4,padini-c4
7160cj,penta-cj
7412,shh [s]
7943,snc [s]
4316,shchan [s]
6971,kobay [s]
2143,ecm
2224,sdred [s]
4057wb,asiapac-wb [s]
7094,eurosp [s]
3565wf,wcehb-wf
5110,uoareit
7137,ums [s]
8664pa,spsetia-pa [s]
8419wa,pansar-wa [s]
7176,tpc [s]
4596,sapres [s]
7050,wong [s]
8591,cresbld [s]
7205,cocolnd [s]
8443,hil [s]
2607,incken [s]
6211,kialim [s]
5237,mphbcap
5138,hsplant [s]
5738,chhb [s]
2682,aisb [s]
0159,amedia
2305,ayer [s]
9687wb,ideal-wb [s]
6633cs,lhi-cs
9881,lsteel
115562,maybankc62
5286ci,mi-ci
013888,myeg-c88
0173,rev
5263,suncon [s]
9679we,wct-we [s]
7121,xianlng [s]
5371,kimhin [s]
070345,a50chin-h45
2828,cihldg
5049,cview [s]
5108,icap
711365,topglov-c65
6491,kfima [s]
0800ea,abfmy1
5592,gce
9334,kesm [s]
8435,cepco [s]
7184wa,g3-wa
5649,gpharos [s]
1163,allianz
8613,enra [s]
0651au,hsi-hau
3662la,mflour-la
3867ck,mpi-ck
5198,afujiya [s]
6076,encorp
7048,atlan
7005,big [s]
6718,cresndo [s]
7773,epmb [s]
0650aa,fbmklci-haa
0128ci,frontkn-ci
1198,maa
0140,macpie [s]
9598,ptaras [s]
0656cj,sp500-cj
7103,spritzer [s]
7811,sapind [s]
2658,aji [s]
6351,amway [s]
5141c8,dayang-c8
7722,asiabrn [s]
5228la,elkdesa-la
2097,eastlnd [s]
5172wa,kstar-wa
7227,umsngb [s]
7986,cnasia
7226,watta [s]
8362,kym [s]
9199,lysaght
3719,panamy
9148,advpkg [s]
7221,bslcorp [s]
7172wa,pmbtech-wa [s]
4448,tasek [s]
7172,pmbtech [s]
7757,upa [s]
3026,dlady [s]
8346,prkcorp
0122,aim [s]
6432,apollo [s]
639920,astro-c20
2925,ccb
0185wa,hsseb-wa [s]
8079,leesk [s]
03005,mhcare [s]
381624,misc-c24
7172la,pmbtech-la
9946,rex [s]
2542,rview [s]
7129,asiafle [s]
2593,umcca [s]
4952,ahp
0103wb,mnc-wb
50991b,airasiac1b
5269,alsreit [s]
5027wb,kmloong-wb [s]
5040wa,meridian-wa [s]
8702,texchem
7083,analabs [s]
5178wa,dynacia-wa
5000la,humeind-la
5084,ibraco [s]
0147,innity
8486,lionpsim [s]
7085,ltkm [s]
5068wb,luster-wb
1058,manulfe
2038,nsop
0153,oversea
7132,smiscor [s]
486362,tm-c62
5016,warisan
7062,khind [s]
7218,tocean [s]
2984,facbind
7070wc,vizione-wc [s]
696327,vs-c27
5878cu,kpj-cu
534771,tenaga-c71
522289,fgv-c89
5035,knusfor [s]
1538wb,symlife-wb [s]
5031cq,timecom-cq
524332,velesto-c32
070354,a50chin-c54
070356,a50chin-c56
070358,a50chin-c58
070341,a50chin-h41
2488c2,abmb-c2
2488c3,abmb-c3
03028,aceinno
7131,acme [s]
7131wa,acme-wa [s]
6599ct,aeon-ct
6599cv,aeon-cv
5139la,aeoncr-la
50991c,airasiac1c
50991d,airasiac1d
50991f,airasiac1f
509988,airasiac88
509993,airasiac93
509994,airasiac94
509995,airasiac95
509996,airasiac96
509997,airasiac97
509998,airasiac98
509999,airasiac99
501411,airport-c11
501414,airport-c14
501415,airport-c15
501416,airport-c16
501417,airport-c17
501418,airport-c18
501419,airport-c19
501420,airport-c20
1163pa,allianz-pa
101518,ambank-c18
